채널,유형,국가,브랜드,본사 거래처 리스트,법인 거래처 리스트
Lyko,벤더,"스웨덴, 노르웨이, 핀란드",medicube,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
Lyko,벤더,"스웨덴, 핀란드",NUMBUZIN,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
Lyko,벤더,스웨덴,"KSECRET, VT Cosmetics",Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
"Lyko, Apohem, MEDS, Keauty",벤더,스웨덴,iUnik,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
"Lyko, Apohem, MEDS, Keauty",벤더,"스웨덴, 핀란드",NUMBUZIN,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
"Lyko, Apohem, MEDS, Keauty, Gekås Ullared",벤더,스웨덴,BIODANCE,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
"Lyko, Apohem. MEDS, Luxplus, Keauty",벤더,스웨덴,VT Cosmetics,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
"Lyko, Keauty",벤더,스웨덴,VT Cosmetics,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
"Lyko, MEDS, Apohem",벤더,스웨덴,Dr.Althea,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
"Lyko, MEDS, Apotea",벤더,스웨덴,Sungboon Editor,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
Aqua&Sapone,벤더,이탈리아,Beauty of Joseon,BIOUTY S.R.L. (https://app.notion.com/p/BIOUTY-S-R-L-3bc3226ccd5b80ae9177f2dc6c33e39b?pvs=21),
Rinascente,벤더,이탈리아,BIODANCE,BIOUTY S.R.L. (https://app.notion.com/p/BIOUTY-S-R-L-3bc3226ccd5b80ae9177f2dc6c33e39b?pvs=21),
"Metro - Jean Coutu,Brunet",벤더,캐나다,"Anua, BIODANCE, COSRX, Round Lab, SKIN1004",Sukoshi Mart (https://app.notion.com/p/Sukoshi-Mart-3bc3226ccd5b80938a4fe0e97f26ac56?pvs=21),
Newpharma,벤더,독일,"Beauty of Joseon, COSRX, HaruHaru, Isntree, Pyunkang Yul, Round Lab, TOCOBO",KENCANA (https://app.notion.com/p/KENCANA-3b63226ccd5b81f38867f2e8215d96e4?pvs=21),
Luxplus,벤더,덴마크,"APLB, Abib, BENTON, BIODANCE, Beauty of Joseon, Belif, Elizavecca, Goodal, HEIMISH, Haruharu Wonder, Isntree, Jumiso, Klavuu, Laneige, MARY&MAY, Nature Republic, Neogen, Nineless, Purito, Pyunkang Yul, Round Lab, Skin&Lab, TOCOBO, Tirtir, VT Cosmetics, iUnik, medicube",DERMASPACE APS (https://app.notion.com/p/DERMASPACE-APS-3b63226ccd5b8135b84ef66f87991a24?pvs=21),
Coolshop,벤더,덴마크,"Beauty of Joseon, Isntree, Nineless, Purito, Tirtir",DERMASPACE APS (https://app.notion.com/p/DERMASPACE-APS-3b63226ccd5b8135b84ef66f87991a24?pvs=21),
Magasin,벤더,덴마크,"BIODANCE, Beauty of Joseon, Isntree, PURITO SEOUL, Pyunkang Yul, Tirtir, iUnik, medicube",DERMASPACE APS (https://app.notion.com/p/DERMASPACE-APS-3b63226ccd5b8135b84ef66f87991a24?pvs=21),
Med24,벤더,덴마크,"Abib, BENTON, BIODANCE, Banilla Co, Beauty of Joseon, HEIMISH, Haruharu Wonder, Isntree, Jumiso, Laneige, MARY&MAY, NUMBUZIN, PURITO SEOUL, Pyunkang Yul, Round Lab, TOCOBO, iUnik",DERMASPACE APS (https://app.notion.com/p/DERMASPACE-APS-3b63226ccd5b8135b84ef66f87991a24?pvs=21),
Nicehair,벤더,덴마크,"Beauty of Joseon, Laneige, Pyunkang Yul, Tirtir",DERMASPACE APS (https://app.notion.com/p/DERMASPACE-APS-3b63226ccd5b8135b84ef66f87991a24?pvs=21),
NORMAL,벤더,덴마크,"Beauty of Joseon, Elizavecca, Isntree, MARY&MAY, NUMBUZIN, Round Lab, Skinfood, Sungboon Editor, VT Cosmetics",DERMASPACE APS (https://app.notion.com/p/DERMASPACE-APS-3b63226ccd5b8135b84ef66f87991a24?pvs=21),
Notino,벤더,독일,"Beauty of Joseon, COSRX, HEIMISH, Isntree, PURITO SEOUL, Pyunkang Yul, Round Lab, iUnik",KENCANA (https://app.notion.com/p/KENCANA-3b63226ccd5b81f38867f2e8215d96e4?pvs=21),
NOTINO,벤더,체코,"AXIS-Y, Anua, BENTON, Beauty of Joseon, COSRX, MARY&MAY, PURITO SEOUL, Pyunkang Yul, Round Lab, TOCOBO, VT Cosmetics, medicube",VENUS EUROPE (https://app.notion.com/p/VENUS-EUROPE-3b63226ccd5b81e9b2eed2262cd26c12?pvs=21),
ROSSMANN PL,벤더,폴란드,"Abib, Pyunkang Yul",La Rose Sp.z o.o (https://app.notion.com/p/La-Rose-Sp-z-o-o-3b63226ccd5b811cac9aebc8b4fbb174?pvs=21),
SDM,벤더,캐나다,"Anua, MIXSOON",EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),
Sephora UK,벤더,영국,Round Lab,Skinsider Cosmetics Ltd (https://app.notion.com/p/Skinsider-Cosmetics-Ltd-3b63226ccd5b81828c2ff67512e719fe?pvs=21),
SUPER-PHARM,벤더,폴란드,"BIODANCE, HEIMISH, MARY&MAY, NINE LESS, Pyunkang Yul, ROM&ND, iUnik, medicube",La Rose Sp.z o.o (https://app.notion.com/p/La-Rose-Sp-z-o-o-3b63226ccd5b811cac9aebc8b4fbb174?pvs=21),
SUPERPHARM,벤더,폴란드,"HEIMISH, MARY&MAY, NINE LESS, Pyunkang Yul",La Rose Sp.z o.o (https://app.notion.com/p/La-Rose-Sp-z-o-o-3b63226ccd5b811cac9aebc8b4fbb174?pvs=21),
TETA,벤더,체코,"Anua, COSRX, Round Lab",VENUS EUROPE (https://app.notion.com/p/VENUS-EUROPE-3b63226ccd5b81e9b2eed2262cd26c12?pvs=21),
