채널,국가,법인 거래처 리스트,본사 거래처 리스트,브랜드,유형
DM drugstore,독일,,KENCANA (https://app.notion.com/p/KENCANA-3b63226ccd5b81f38867f2e8215d96e4?pvs=21),COSRX,벤더
Med24,덴마크,,DERMASPACE APS (https://app.notion.com/p/DERMASPACE-APS-3b63226ccd5b8135b84ef66f87991a24?pvs=21),"Abib, BENTON, BIODANCE, Banilla Co, Beauty of Joseon, HEIMISH, Haruharu Wonder, Isntree, Jumiso, Laneige, MARY&MAY, NUMBUZIN, PURITO SEOUL, Pyunkang Yul, Round Lab, TOCOBO, iUnik",벤더
Douglas,독일,,KENCANA (https://app.notion.com/p/KENCANA-3b63226ccd5b81f38867f2e8215d96e4?pvs=21),"Beauty of Joseon, COSRX, Dr. Althea, HEIMISH, HaruHaru, Isntree, PURITO SEOUL, Pyunkang Yul, Round Lab, TOCOBO, VT Cosmetics, iUnik",벤더
Nicehair,덴마크,,DERMASPACE APS (https://app.notion.com/p/DERMASPACE-APS-3b63226ccd5b8135b84ef66f87991a24?pvs=21),"Beauty of Joseon, Laneige, Pyunkang Yul, Tirtir",벤더
Douglas,크로아티아,,Heson d.o.o. (Zito Group) (https://app.notion.com/p/Heson-d-o-o-Zito-Group-3b63226ccd5b815b8178c5f35f05c1d7?pvs=21),PURITO SEOUL,벤더
NORMAL,덴마크,,DERMASPACE APS (https://app.notion.com/p/DERMASPACE-APS-3b63226ccd5b8135b84ef66f87991a24?pvs=21),"Beauty of Joseon, Elizavecca, Isntree, MARY&MAY, NUMBUZIN, Round Lab, Skinfood, Sungboon Editor, VT Cosmetics",벤더
Dr.Max,슬로바키아,,Beautex (https://app.notion.com/p/Beautex-3bc3226ccd5b8046ae07f74523e6d2b3?pvs=21),Isntree,벤더
Notino,독일,,KENCANA (https://app.notion.com/p/KENCANA-3b63226ccd5b81f38867f2e8215d96e4?pvs=21),"Beauty of Joseon, COSRX, HEIMISH, Isntree, PURITO SEOUL, Pyunkang Yul, Round Lab, iUnik",벤더
Etos,네덜란드,,Trind Cosmetics (https://app.notion.com/p/Trind-Cosmetics-3b63226ccd5b8137baa3f600e89794cf?pvs=21),Beauty of Joseon,벤더
NOTINO,체코,,VENUS EUROPE (https://app.notion.com/p/VENUS-EUROPE-3b63226ccd5b81e9b2eed2262cd26c12?pvs=21),"AXIS-Y, Anua, BENTON, Beauty of Joseon, COSRX, MARY&MAY, PURITO SEOUL, Pyunkang Yul, Round Lab, TOCOBO, VT Cosmetics, medicube",벤더
FARMASIET,노르웨이,,K-Beauty Norge AS (https://app.notion.com/p/K-Beauty-Norge-AS-3b63226ccd5b8136a5b4f515c26b0325?pvs=21),Beauty of Joseon,벤더
ROSSMANN PL,폴란드,,La Rose Sp.z o.o (https://app.notion.com/p/La-Rose-Sp-z-o-o-3b63226ccd5b811cac9aebc8b4fbb174?pvs=21),"Abib, Pyunkang Yul",벤더
Flaconi,독일,,KENCANA (https://app.notion.com/p/KENCANA-3b63226ccd5b81f38867f2e8215d96e4?pvs=21),"Beauty of Joseon, COSRX, Isntree, PURITO SEOUL, Pyunkang Yul, Round Lab, iUnik",벤더
SDM,캐나다,,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),"Anua, MIXSOON",벤더
Gekås Ullared,스웨덴,,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),COSRX,벤더
Sephora UK,영국,,Skinsider Cosmetics Ltd (https://app.notion.com/p/Skinsider-Cosmetics-Ltd-3b63226ccd5b81828c2ff67512e719fe?pvs=21),Round Lab,벤더
K-Citymarket (Kesko),핀란드,,COSNF Oy (https://app.notion.com/p/COSNF-Oy-3b63226ccd5b8148a286ff0451d6c4f3?pvs=21),"Dr. Althea, NUMBUZIN, PURITO SEOUL, Round Lab, TOCOBO, VT Cosmetics",벤더
SUPER-PHARM,폴란드,,La Rose Sp.z o.o (https://app.notion.com/p/La-Rose-Sp-z-o-o-3b63226ccd5b811cac9aebc8b4fbb174?pvs=21),"BIODANCE, HEIMISH, MARY&MAY, NINE LESS, Pyunkang Yul, ROM&ND, iUnik, medicube",벤더
Lily,불가리아,,BareCare International Ltd. (https://app.notion.com/p/BareCare-International-Ltd-3b63226ccd5b81c8add6ffbffa7f7027?pvs=21),medicube,벤더
SUPERPHARM,폴란드,,La Rose Sp.z o.o (https://app.notion.com/p/La-Rose-Sp-z-o-o-3b63226ccd5b811cac9aebc8b4fbb174?pvs=21),"HEIMISH, MARY&MAY, NINE LESS, Pyunkang Yul",벤더
Lyko,"스웨덴, 노르웨이, 핀란드",,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),medicube,벤더
TETA,체코,,VENUS EUROPE (https://app.notion.com/p/VENUS-EUROPE-3b63226ccd5b81e9b2eed2262cd26c12?pvs=21),"Anua, COSRX, Round Lab",벤더
Lyko,"스웨덴, 핀란드",,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),NUMBUZIN,벤더
VITA,노르웨이,,K-Beauty Norge AS (https://app.notion.com/p/K-Beauty-Norge-AS-3b63226ccd5b8136a5b4f515c26b0325?pvs=21),"BIODANCE, Isntree, celimax",벤더
Lyko,스웨덴,,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),"KSECRET, VT Cosmetics",벤더
Walmart,캐나다,,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),COSRX,벤더
"Lyko, Apohem, MEDS, Keauty",스웨덴,,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),iUnik,벤더
MINISO,호주,,KRIJATHOR IMPORTS PTY LTD (https://app.notion.com/p/KRIJATHOR-IMPORTS-PTY-LTD-3b63226ccd5b8131bcd6d436c011ff3d?pvs=21),"ARENCIA, TOCOBO",벤더
"Lyko, Apohem, MEDS, Keauty","스웨덴, 핀란드",,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),NUMBUZIN,벤더
Healthy Planet,캐나다,,EXOD INTERNATIONAL (https://app.notion.com/p/EXOD-INTERNATIONAL-3b63226ccd5b81bc9a89e1ff1048ffb8?pvs=21),medicube,벤더
"Lyko, Apohem, MEDS, Keauty, Gekås Ullared",스웨덴,,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),BIODANCE,벤더
DM,크로아티아,,Rondomondo (https://app.notion.com/p/Rondomondo-3bc3226ccd5b80729366c2b85293090d?pvs=21),"Anua, BIODANCE, BOJ, COSRX, Purito, Round Lab",벤더
"Lyko, Apohem. MEDS, Luxplus, Keauty",스웨덴,,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),VT Cosmetics,벤더
DM,보스니아 헤르체고비나,,Rondomondo (https://app.notion.com/p/Rondomondo-3bc3226ccd5b80729366c2b85293090d?pvs=21),"Anua, BIODANCE, BOJ, COSRX, MARY & MAY, Round Lab",벤더
"Lyko, Keauty",스웨덴,,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),VT Cosmetics,벤더
DM,슬로베니아,,Rondomondo (https://app.notion.com/p/Rondomondo-3bc3226ccd5b80729366c2b85293090d?pvs=21),"BIODANCE, BOJ, COSRX, Round Lab",벤더
"Lyko, MEDS, Apohem",스웨덴,,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),Dr.Althea,벤더
MEDS,스웨덴,,PRIORITIZE & MAXIMIZE SWEDEN AB (https://app.notion.com/p/PRIORITIZE-MAXIMIZE-SWEDEN-AB-3bc3226ccd5b8082b0f2c874f0f273a3?pvs=21),KSECRET,벤더
Chemist Warehouse,뉴질랜드,,TGD GLOBAL DISTRIBUTION TRADING L.L.C (https://app.notion.com/p/TGD-GLOBAL-DISTRIBUTION-TRADING-L-L-C-3b63226ccd5b816fb3fce0a607809daa?pvs=21),"ARENCIA, TOCOBO, medicube",벤더
